,Model,min_cluster_size,cluster_selection_method,R2,Silhouette,Calinski-Harabasz
0,hdbscan,5,leaf,0.15036747009710844,-0.22516407147086903,4.520872055340989
1,hdbscan,15,leaf,0.08266958888951473,-0.37067665196113725,10.774430770331179
2,hdbscan,25,leaf,0.06384476014901184,-0.39535774842526294,17.022875722457666
3,hdbscan,35,leaf,0.05714716807280782,-0.3884264487236571,24.052681969187773
4,hdbscan,45,leaf,0.04814285696471591,-0.4033633907756434,29.217425834327393
5,hdbscan,55,leaf,0.04626024220746273,-0.3960983737377621,36.70717316328986
6,hdbscan,65,leaf,0.04993136299032767,-0.34603969511023047,47.738442416565356
7,hdbscan,5,eom,0.16293557335910946,-0.18208845871717097,5.802602373813651
8,hdbscan,15,eom,0.10018661076042396,-0.28036959705194736,22.175874020815108
9,hdbscan,25,eom,0.0769408565745488,-0.2911758341341869,29.72466970541845
10,hdbscan,35,eom,0.06602644393769397,-0.31581135622138545,36.219337123684
11,hdbscan,45,eom,0.05820132293630494,-0.3211579018442945,44.63926053833349
12,hdbscan,55,eom,0.05455083346191625,-0.3261361598506619,52.40986155581455
13,hdbscan,65,eom,0.05263619865214826,-0.3298639526606488,53.530211704004294
