customer_id,customer_region,customer_age,is_repeat_customer,Cluster labels 4
1b8f824d5e,2360,18,1,2
5d272b9dcb,8670,17,1,3
f6d1b2ba63,4660,38,1,1
180c632ed8,4660,27,1,1
4eb37a6705,4660,20,1,1
6aef2b6726,8670,40,1,0
8475ee66ef,2440,24,1,3
f2f53bcc67,8670,27,1,3
5b650c89cc,2360,20,1,2
84775a7237,8670,20,1,3
dd4bcde51a,2360,20,1,2
4eff9f04bf,4660,18,1,1
8733352e37,0000,33,1,2
dce8e4700a,8670,26,1,3
f3070b7bbf,2360,21,1,2
f49ed5489a,8670,51,1,0
7c027ecfd3,4660,35,1,1
7d9a62afd6,2440,27,1,2
d5ef759319,8670,22,1,3
dd27b47fb5,4660,31,1,1
e79f867434,8670,15,1,3
eb13ad08ad,8670,47,1,0
fd1202393e,2360,24,1,2
1f1fe12bed,8670,26,1,3
29786040d4,4140,22,1,3
47e04c1274,2360,24,1,2
68e63f5236,2360,31,1,2
8e8652bdc8,4660,29,1,1
b92ab1eeec,2360,47,1,0
ccd38a80b8,2360,35,1,2
e8e2f0ceaa,8670,19,1,3
14f6344b4d,2360,21,1,2
717b3c4687,8670,28,1,3
8ef0980510,4660,32,1,1
ae38da6386,8670,21,1,3
f8d0140d7c,2360,32,1,2
0a731445a4,2360,25,1,2
6137fa5620,8670,30,1,3
a11cd335ff,8670,37,1,0
ba2f1ced9c,4660,26,1,1
22f355aeb4,2440,20,1,3
8d985fae15,2360,25,1,2
afc96f7eaa,2360,42,1,2
412c8c0b2d,2360,24,1,2
f0204a5fed,2360,20,1,2
1a1761e910,4660,28,1,1
728552f1e2,4140,26,1,1
8b1a9a013b,4660,31,1,1
9aadcc2e76,4660,38,1,1
9bdb616748,4660,35,1,1
a9f54fe565,8670,48,1,0
ac5d148391,4660,22,1,1
d6cf0c552d,2360,38,1,2
ef90f2896f,2360,22,1,2
63cb294ad9,8670,16,1,3
6f17174721,4660,27,1,1
