customer_id,customer_region,customer_age,vendor_count,product_count,is_chain,first_order,last_order,last_promo,payment_method,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HR_0,HR_1,HR_2,HR_3,HR_4,HR_5,HR_6,HR_7,HR_8,HR_9,HR_10,HR_11,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_18,HR_19,HR_20,HR_21,HR_22,HR_23,promo_DELIVERY,promo_DISCOUNT,promo_FREEBIE,promo_NO DISCOUNT,pay_CARD,pay_CASH,pay_DIGI,last_promo_enc,payment_method_enc,days_between,total_orders,avg_order_hour,total_spend,avg_spend_prod,is_repeat_customer,avg_prod_vendor,avg_orders_vendor,avg_prod_order,weekend_orders,weekday_orders,weekend_weekday_ratio,num_cuisines,average_spend_per_cuisine,CUI_American_ratio,CUI_Asian_ratio,CUI_Beverages_ratio,CUI_Cafe_ratio,CUI_Chicken Dishes_ratio,CUI_Chinese_ratio,CUI_Desserts_ratio,CUI_Healthy_ratio,CUI_Indian_ratio,CUI_Italian_ratio,CUI_Japanese_ratio,CUI_Noodle Dishes_ratio,CUI_OTHER_ratio,CUI_Street Food / Snacks_ratio,CUI_Thai_ratio,DOW_0_ratio,DOW_1_ratio,DOW_2_ratio,DOW_3_ratio,DOW_4_ratio,DOW_5_ratio,DOW_6_ratio,HR_0_ratio,HR_1_ratio,HR_2_ratio,HR_3_ratio,HR_4_ratio,HR_5_ratio,HR_6_ratio,HR_7_ratio,HR_8_ratio,HR_9_ratio,HR_10_ratio,HR_11_ratio,HR_12_ratio,HR_13_ratio,HR_14_ratio,HR_15_ratio,HR_16_ratio,HR_17_ratio,HR_18_ratio,HR_19_ratio,HR_20_ratio,HR_21_ratio,HR_22_ratio,HR_23_ratio,0_7h,8_14h,15_19h,20_23h
fd399c247b,2440,22.0,4,15,3,0,32,DISCOUNT,CARD,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,14.05,0.0,0.0,60.21,0.0,0.0,0.0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,1,0,0,1,0,0,2.0,20119,32,6,19.83333333333333,77.72,5.181333333333333,1,3.75,1.5,2.5,4,2,2.0,3,25.906666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0445187853834276,0.0,0.1807771487390633,0.0,0.0,0.7747040658775091,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.0,0,0,3,3
ef760c3a3c,2360,26.0,1,6,0,0,40,DISCOUNT,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,0.0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,1,0,0,2.0,20119,40,6,17.833333333333332,11.28,1.88,1,6.0,6.0,1.0,1,5,0.2,1,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.1666666666666666,0.0,0.0,0.0,0.0,0,0,6,0
7b0661a6ba,2360,30.0,1,19,14,0,43,FREEBIE,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.86,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,0,1,2,1,0,0,0,0,0,0,0,0,4,3,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.0,20119,43,14,10.785714285714286,50.86,2.676842105263158,1,19.0,14.0,1.3571428571428572,5,9,0.5555555555555556,1,50.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2142857142857142,0.2142857142857142,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2142857142857142,0.1428571428571428,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0,13,0,1
01ad9867f2,8670,29.0,14,32,16,0,58,NO DISCOUNT,CARD,11.73,287.09,0.0,0.0,0.0,0.0,0.0,50.31,0.0,0.0,0.0,0.0,0.0,12.08,0.0,3,4,1,2,2,3,5,0,0,2,5,2,1,0,1,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,20119,58,20,7.0,361.21,11.2878125,1,2.2857142857142856,1.4285714285714286,1.6,8,12,0.6666666666666666,4,90.3025,0.0324741839926912,0.794800808394009,0.0,0.0,0.0,0.0,0.0,0.1392818581988317,0.0,0.0,0.0,0.0,0.0,0.033443149414468,0.0,0.15,0.2,0.05,0.1,0.1,0.15,0.25,0.0,0.0,0.1,0.25,0.1,0.05,0.0,0.05,0.0,0.1,0.05,0.1,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9,0,0
c887818ebd,4140,32.0,1,7,0,0,62,NO DISCOUNT,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0.0,20119,62,4,21.5,45.02,6.431428571428572,1,7.0,4.0,1.75,2,2,1.0,1,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0,0,0,4
f833116c24,4660,43.0,2,13,12,0,65,DISCOUNT,CARD,80.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,2,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0,1,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,20119,65,13,11.615384615384617,84.6,6.507692307692308,1,6.5,6.5,1.0,4,9,0.4444444444444444,2,42.3,0.9556737588652482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443262411347517,0.0,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0
892b6b0b91,2360,28.0,2,17,14,0,66,DISCOUNT,CARD,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,3,2,0,3,0,0,0,0,0,0,0,0,0,7,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2.0,20119,66,15,10.533333333333331,45.91,2.7005882352941173,1,8.5,7.5,1.1333333333333333,7,8,0.875,1,45.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.0666666666666666,0.1333333333333333,0.2,0.1333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0,14,1,0
ab8fcadb60,2440,41.0,3,16,8,0,68,NO DISCOUNT,CASH,0.0,9.09,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,67.89,0.0,0.0,0.0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0.0,5619,68,8,18.875,79.99,4.999375,1,5.333333333333333,2.6666666666666665,2.0,2,6,0.3333333333333333,3,26.66333333333333,0.0,0.1136392049006125,0.0,0.0,0.0,0.0376297037129641,0.0,0.0,0.0,0.0,0.0,0.8487310913864233,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0,0,8,0
249ba584d3,4660,34.0,4,95,8,0,71,NO DISCOUNT,CARD,0.0,896.71,0.0,9.08,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,8,9,9,8,10,4,6,0,0,0,0,0,0,0,1,0,0,0,3,13,11,6,7,10,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,20119,71,54,13.685185185185183,907.86,9.55642105263158,1,23.75,13.5,1.7592592592592593,14,40,0.35,3,302.62000000000006,0.0,0.9877183706738925,0.0,0.0100015420879871,0.0,0.0,0.0,0.0,0.0,0.0022800872381204,0.0,0.0,0.0,0.0,0.0,0.1481481481481481,0.1666666666666666,0.1666666666666666,0.1481481481481481,0.1851851851851851,0.074074074074074,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,0.0,0.0,0.0555555555555555,0.2407407407407407,0.2037037037037037,0.1111111111111111,0.1296296296296296,0.1851851851851851,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,1,33,20,0
36269ce6f1,4660,20.0,4,32,7,0,71,NO DISCOUNT,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.94,0.0,0.0,49.21,0.0,0.0,10,3,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,12,8,2,0,0,0,0,0,0,0,1,1,0,0,0.0,20119,71,30,16.866666666666667,190.15,5.9421875,1,8.0,7.5,1.0666666666666669,15,15,1.0,2,95.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412043123849592,0.0,0.0,0.2587956876150407,0.0,0.0,0.3333333333333333,0.1,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0666666666666666,0.1666666666666666,0.4,0.2666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0,0,1,29,0
6749fb2f06,4140,25.0,1,15,11,0,72,NO DISCOUNT,DIGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83,0.0,0.0,0.0,0.0,0.0,0,4,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,6090,72,11,14.0,74.83,4.988666666666666,1,15.0,11.0,1.3636363636363635,3,8,0.375,1,74.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.0909090909090909,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,6,0
0c1807a567,2360,25.0,4,29,4,0,75,NO DISCOUNT,CARD,1.66,0.0,0.0,0.0,1.83,0.0,0.0,0.0,116.52,0.0,0.0,0.0,0.0,8.9,0.0,4,4,1,2,4,7,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,9,1,0,0,0,0,0,0,1,1,0,0,0.0,20119,75,25,17.64,128.91,4.445172413793103,1,7.25,6.25,1.16,7,18,0.3888888888888889,4,32.2275,0.0128772011480878,0.0,0.0,0.0,0.0141959506632534,0.0,0.0,0.0,0.903886432394694,0.0,0.0,0.0,0.0,0.0690404157939647,0.0,0.16,0.16,0.04,0.08,0.16,0.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.48,0.36,0.04,0.0,0.0,0.0,0,2,22,1
1420df2a55,8670,23.0,8,24,6,0,75,NO DISCOUNT,CASH,6.07,24.41,12.7,0.0,0.0,0.0,138.81,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,2,3,1,3,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,5,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,5619,75,14,13.714285714285714,280.7,11.695833333333333,1,3.0,1.75,1.7142857142857142,5,9,0.5555555555555556,5,56.14,0.0216245101531884,0.0869611685073031,0.0452440327752048,0.0,0.0,0.0,0.4945137157107232,0.0,0.0,0.0,0.0,0.0,0.0,0.3516565728535803,0.0,0.1428571428571428,0.2142857142857142,0.0714285714285714,0.2142857142857142,0.1428571428571428,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.1428571428571428,0.3571428571428571,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,2,3,9,0
